"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.19547327935446e-06,0.925153677169533,0.431,0.245,0.0211001033806062,"8","CBX6"
1.25233354662999e-06,0.994152466148288,0.515,0.334,0.0221036870980194,"8","UHRF1BP1"
1.27918569670117e-06,0.926362433120769,0.277,0.119,0.0225776275467757,"8","PPRC1"
1.28912021316886e-06,0.636237999358364,0.777,0.568,0.0227529717624304,"8","IQSEC1"
1.28933273284674e-06,0.660845726958867,0.631,0.42,0.0227567227347449,"8","PCBD2"
1.35386273873488e-06,0.952713987171576,0.623,0.44,0.0238956773386707,"8","KIF16B"
1.37082481791679e-06,0.866581019528391,0.531,0.323,0.0241950580362313,"8","FIG4"
1.44255228420625e-06,0.572378064238403,0.877,0.735,0.0254610478162403,"8","PHKB"
1.46832259260461e-06,0.535219479311476,0.938,0.768,0.0259158937594714,"8","CAB39"
1.5398666729999e-06,1.09746251727911,0.331,0.169,0.0271786467784483,"8","CLCN6"
1.54310283691368e-06,0.885584408868995,0.415,0.23,0.0272357650715265,"8","MGME1"
1.58446742106693e-06,0.44181664039533,0.992,0.944,0.0279658499818313,"8","HNRNPC"
1.63194052593824e-06,0.669122571783743,0.685,0.474,0.0288037502828099,"8","KIF1B"
1.63775137317137e-06,0.549289714991568,0.754,0.524,0.0289063117364746,"8","AGPS"
1.66417504401361e-06,0.506086505659724,0.5,0.315,0.0293726895268402,"8","SLC22A23"
1.7663149035614e-06,0.712971315459645,0.492,0.274,0.0311754580478588,"8","ZNF562"
1.82522146097046e-06,1.13290999553957,0.6,0.463,0.0322151587861285,"8","ANXA1"
1.85891081139255e-06,0.745464269041229,0.615,0.396,0.0328097758210785,"8","SFT2D2"
1.87943858985569e-06,1.08160158779044,0.269,0.122,0.0331720911109529,"8","MED12L"
1.93970149855201e-06,1.14509727424735,0.454,0.275,0.034235731449443,"8","SRGAP3"
1.97054217537589e-06,0.653801380898569,0.569,0.344,0.0347800693953845,"8","FARP2"
