"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00161823802804527,0.556652453191834,0.484,0.326,1,"1","RPAIN"
0.0016307893123792,0.502430941900036,0.572,0.467,1,"1","DROSHA"
0.00163942328634304,0.735102890333245,0.308,0.184,1,"1","MYH14"
0.00167288677334737,0.833345491469337,0.289,0.176,1,"1","TEX9"
0.00172144810927481,0.298694355770453,0.969,0.889,1,"1","HIPK3"
0.00173030060913952,0.839475042104972,0.289,0.176,1,"1","PDK2"
0.00174001206866807,0.814178401661072,0.283,0.163,1,"1","NUDT6"
0.00175109526559278,0.396893375995176,0.572,0.408,1,"1","NDFIP2"
0.00176950982814707,0.460059888362299,0.654,0.502,1,"1","RFC1"
0.00178344226764192,0.556849024011046,0.39,0.253,1,"1","AIFM1"
0.00180430231112814,0.451069951481517,0.528,0.387,1,"1","POT1"
0.00182927619985471,0.775122980124078,0.289,0.167,1,"1","PMM1"
0.00183523056546968,0.349419470222555,0.736,0.573,1,"1","KRCC1"
0.00184841828985322,0.688122855777392,0.346,0.22,1,"1","ZFAND1"
0.00186939133323426,0.358270763688805,0.774,0.623,1,"1","MTA3"
0.00188035900016105,0.373545942076518,0.547,0.377,1,"1","SCML1"
0.00188753050033424,0.600538215298447,0.346,0.209,1,"1","PRDM16"
0.0018969974259416,0.542180424495928,0.604,0.431,1,"1","PILRB"
0.00190578908100158,0.516645038589387,0.428,0.285,1,"1","ZNF33B"
0.00190875502964336,0.429324108191515,0.352,0.203,1,"1","GATB"
0.00191338190790782,0.401108627585033,0.742,0.663,1,"1","EZH1"
0.0019256497370218,0.858652118257454,0.264,0.155,1,"1","AC091551.1"
0.00193001332375173,0.307595439326692,0.874,0.745,1,"1","PIK3C2A"
0.00195894001420141,0.401180756044855,0.711,0.569,1,"1","TBL1X"
0.00201952343007964,0.406358667939829,0.755,0.644,1,"1","DERA"
0.00202046976483528,0.273494057157946,0.899,0.78,1,"1","CUL5"
0.00202309546188384,0.3828122483185,0.572,0.402,1,"1","WBP4"
0.00211009165743946,0.559963333168794,0.39,0.253,1,"1","PDHA1"
0.0021209234666395,0.686955015975558,0.252,0.142,1,"1","COX18"
0.00214004433620493,0.690582037258115,0.415,0.287,1,"1","CBWD5"
0.00216690733627135,0.737239243197872,0.415,0.291,1,"1","CEP70"
0.00219208412964985,0.349109440199328,0.484,0.318,1,"1","MBTPS2"
0.00224380532476753,0.771641388978647,0.39,0.268,1,"1","NRBF2"
0.0022551162839997,0.405542374779846,0.711,0.588,1,"1","PPP4R2"
0.00226147453799126,0.60819062772076,0.346,0.211,1,"1","UBAP1L"
0.00227214789880187,0.479703298958067,0.736,0.611,1,"1","KCTD3"
0.00227586648717621,0.417008715365168,0.522,0.377,1,"1","DHTKD1"
0.0022901824303704,0.404856219546805,0.811,0.672,1,"1","SYNE3"
0.00234416992943841,0.518415287161138,0.453,0.295,1,"1","TAZ"
0.00236173977042216,0.580537449014418,0.302,0.174,1,"1","C5orf51"
0.00236642604310848,0.487394716279103,0.616,0.462,1,"1","MCM9"
0.00238463453324263,0.449779856905892,0.667,0.533,1,"1","ANKRD26"
0.00240014311320647,0.638288283080155,0.321,0.197,1,"1","ZCRB1"
0.00242074599134476,0.412721304386646,0.434,0.28,1,"1","TMEM192"
0.00244980969547751,0.761757031059772,0.365,0.234,1,"1","C2orf88"
0.00245427640681462,0.284332042125715,0.811,0.707,1,"1","ZNF518A"
0.00247161962032409,0.366264798806017,0.66,0.515,1,"1","NAA35"
0.00247788117930375,0.588867728780429,0.371,0.238,1,"1","MGME1"
0.00247842278790767,0.506710234580026,0.296,0.174,1,"1","TRMO"
0.00250741780699619,0.264741988908252,0.899,0.822,1,"1","OSBPL8"
0.00252542158056038,0.393338710161408,0.711,0.567,1,"1","WBP1L"
0.00252589221219634,0.703214047350698,0.258,0.142,1,"1","KCNMB3"
0.00253319074401412,0.313661043707905,0.931,0.822,1,"1","CNOT2"
0.00257093464950334,0.617221789663788,0.377,0.247,1,"1","SPDYE3"
0.00263998914616949,0.47045250266578,0.522,0.374,1,"1","TADA2A"
0.00265552889028048,0.281281171321253,0.717,0.563,1,"1","INPP5B"
0.00266534649506773,0.25336623943926,0.925,0.874,1,"1","CEP350"
0.00272878721748371,0.541932525128119,0.384,0.257,1,"1","AL139353.1"
0.00273925396063884,0.635080687959465,0.478,0.341,1,"1","GABPA"
0.00274697151066132,0.476899479131986,0.478,0.341,1,"1","LMTK2"
0.0027529649785725,0.653672495937363,0.34,0.211,1,"1","PCCB"
0.00277884610446146,0.782334140282083,0.327,0.211,1,"1","SNTA1"
0.00279802445486525,0.441332047869339,0.748,0.615,1,"1","SUPT3H"
0.00281416610793518,0.534022921295234,0.465,0.32,1,"1","NINL"
0.00285619364414809,0.412376626491146,0.629,0.454,1,"1","RBM28"
0.00286430976031865,0.638483206147462,0.358,0.232,1,"1","EXD2"
0.00292576609017192,0.453812320545648,0.61,0.473,1,"1","UQCRC2"
0.00292800031042359,0.64519164850825,0.434,0.299,1,"1","PHTF1"
0.00293056094328425,0.461314053093841,0.371,0.243,1,"1","TAF5L"
0.00296901128958567,0.441611275016141,0.692,0.577,1,"1","LRIG3"
0.00297062079575552,0.347445947106024,0.761,0.626,1,"1","MLH3"
0.00297880235775635,0.442576857432915,0.44,0.291,1,"1","ZSCAN30"
0.00299106808029529,0.484099873943746,0.522,0.377,1,"1","MTCH2"
0.00299141029966996,0.345413381026868,0.635,0.462,1,"1","PCDH18"
0.00300756479695918,0.636439684968041,0.333,0.209,1,"1","PTCH1"
0.00303176240785981,0.549985062446952,0.465,0.328,1,"1","LIPA"
0.0030667881996818,0.391722605131317,0.597,0.437,1,"1","CPNE3"
0.00308548962862548,0.647060250629644,0.314,0.192,1,"1","SCRN3"
0.00317224069011371,0.499304373055464,0.535,0.383,1,"1","MTMR14"
0.0031827148851024,0.355262805391087,0.723,0.561,1,"1","NUDCD3"
0.00320949640490896,0.366782292507502,0.717,0.556,1,"1","ULK2"
0.00323853759314804,0.285634429014184,0.811,0.72,1,"1","URI1"
0.00326652935263217,0.362634048919994,0.761,0.642,1,"1","TRAPPC8"
